,id,Name,Box art url
0,509658,Just Chatting,https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-{width}x{height}.jpg
1,27471,Minecraft,https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-{width}x{height}.jpg
2,32982,Grand Theft Auto V,https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-{width}x{height}.jpg
3,21779,League of Legends,https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-{width}x{height}.jpg
4,32399,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-{width}x{height}.jpg
5,33214,Fortnite,https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-{width}x{height}.jpg
6,30921,Rocket League,https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-{width}x{height}.jpg
7,516575,VALORANT,https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-{width}x{height}.jpg
8,518213,It Takes Two,https://static-cdn.jtvnw.net/ttv-boxart/It%20Takes%20Two-{width}x{height}.jpg
9,512710,Call of Duty: Warzone,https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Warzone-{width}x{height}.jpg
10,518204,FIFA 21,https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2021-{width}x{height}.jpg
11,369418,GeoGuessr,https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-{width}x{height}.jpg
12,511224,Apex Legends,https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-{width}x{height}.jpg
13,491931,Escape From Tarkov,https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-{width}x{height}.jpg
14,29595,Dota 2,https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-{width}x{height}.jpg
15,18122,World of Warcraft,https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-{width}x{height}.jpg
16,369588,Mario Kart 8,https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Kart%208-{width}x{height}.jpg
17,1275666892,Monster Hunter Rise,https://static-cdn.jtvnw.net/ttv-boxart/Monster%20Hunter%20Rise-{width}x{height}.jpg
18,498566,Slots,https://static-cdn.jtvnw.net/ttv-boxart/Slots-{width}x{height}.jpg
19,491487,Dead by Daylight,https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-{width}x{height}.jpg
